author,comments,images,pushes
TyuzuChou (子瑜我老婆),6,8,5
kerry50407 (),35,11,29
ReiKuromiya (Rei Kuromiya),8,56,7
yessssssssss (耶～),75,4,51
ReiKuromiya (Rei Kuromiya),85,17,71
vikingman (圍巾人),14,3,9
haudai (低調),8,31,4
li08090627 (Ian),6,4,4
herojace (skycolla),34,4,18
james7923 (詹姆士Q),12,9,10
conniemywife (loveconnie),187,14,142
Hosh (恐懼延畢的老屁股),110,17,90
haudai (低調),7,3,2
sunchen0201 (想哭就要笑),98,11,90
chen7david (桃園厄文),4,1,1
PANG920 (冗冗der),6,1,2
nicolas616 (電鋸王),8,3,3
batman0620 (),5,1,3
ReiKuromiya (Rei Kuromiya),27,1,20
ReiKuromiya (Rei Kuromiya),100,3,72
ClownT (克朗),58,7,33
ian001 (lulu),17,2,13
xibi11231123 (小洋),57,4,44
PANG920 (冗冗der),21,1,15
Black3831372 (男哥是我),200,11,149
jizzinmyhand (嗯嗯),2,10,1
xibi11231123 (小洋),22,8,19
Micharn (忘記最初的感動),3,4,1
howard80336 (嘻嘻與哈哈),2,1,1
bookhello (Suwill),3,4,2
talktomyhand (潮到出汗),2,4,0
gto3ping (我愛3P),19,1,15
fack3170 (Jくん),13,10,11
StarryVT (梨子鳳梨翔),9,1,5
YenFuOne (焉芙丸),8,5,3
Steven1368 (邊緣天龍人),32,10,30
hkry7533 (Ryan),3,1,3
andy16384257 (安迪),7,10,7
chirex (鐵石哥_不含銅鋰鋅),28,7,26
CrazyMadness (瘋狂麥德斯),136,16,122
ReiKuromiya (Rei Kuromiya),8,21,6
ReiKuromiya (Rei Kuromiya),119,9,100
ReiKuromiya (Rei Kuromiya),8,7,7
qzwxecrv55 (Ling),18,17,13
goodnight4Tw (玫瑰色的你),10,5,6
ReiKuromiya (Rei Kuromiya),6,11,5
robiru8999 (滾王滾滾),46,4,33
robiru8999 (滾王滾滾),6,5,3
ReiKuromiya (Rei Kuromiya),1,8,1
yellowsayshi (無我狀態),138,12,128
Black3831372 (男哥是我),68,73,63
xibi11231123 (小洋),23,6,19
robiru8999 (滾王滾滾),21,4,13
sunchen0201 (想哭就要笑),36,19,29
li08090627 (Ian),9,4,6
fack3170 (Jくん),7,6,7
kevinliu0001 (RomeoLiu),12,10,9
chenyenpo (chenyenpo),11,3,8
Merkle (居然被桶三個月 我QQ),35,1,24
NCCUOnline (嗯嘻嘻唷昂賴),8,7,6
ReiKuromiya (Rei Kuromiya),34,10,22
yao84 (瑤瑤),36,2,10
li08090627 (Ian),4,3,4
Rubio5566 (如果你也有聽到喵喵在叫),45,4,31
fack3170 (Jくん),22,11,19
ReiKuromiya (Rei Kuromiya),36,7,29
ai607004 (),102,2,56
fack3170 (Jくん),41,9,27
MarioBro (聽說本能寺著火了),8,1,7
fack3170 (Jくん),5,6,5
NCCUOnline (嗯嘻嘻唷昂賴),10,7,2
NCCUOnline (嗯嘻嘻唷昂賴),3,5,2
NCCUOnline (嗯嘻嘻唷昂賴),6,11,5
twmadrid (阿偉),1,1,1
Black3831372 (男哥是我),18,35,15
sure0219 (無菌豬★Sleven),60,6,43
teramars (tomorrow never knows),23,4,22
andy16384257 (安迪),22,10,21
usong (幽爽),51,9,40
kai6609 (David),19,2,2
NCCUOnline (嗯嘻嘻唷昂賴),9,5,6
ReiKuromiya (Rei Kuromiya),4,9,4
ReiKuromiya (Rei Kuromiya),14,19,12
Steven1368 (邊緣天龍人),19,7,16
rfvujm (Rfvujm),61,3,24
FAYeeeeeeee (Fay),8,5,7
madmoon (龍潭譚詠麟),21,12,18
jackyliu (6+7),150,3,69
li08090627 (Ian),10,6,9
zerto (gg),9,4,6
ReiKuromiya (Rei Kuromiya),4,1,4
henry10027 (hsien0202),22,1,14
li08090627 (Ian),2,4,2
fantasy1109 (范特西),19,1,5
fack3170 (JC),8,7,7
GermanArmy (三兄弟最強的一個),132,13,114
teramars (tomorrow never knows),41,6,31
yellowsayshi (無我狀態),5,5,3
jacktheballe (jackc_baller),78,3,61
HarunaOno (Scandal最高),77,129,64
Black3831372 (男哥是我),51,55,45
ryanworld (大木人18號),50,5,46
NCCUOnline (嗯嘻嘻唷昂賴),7,5,4
NCCUOnline (嗯嘻嘻唷昂賴),15,5,10
li08090627 (Ian),15,2,8
Steven1368 (邊緣天龍人),32,5,28
vincentshu14 (niceboobs),16,2,12
Cahill (卡希爾),67,10,30
fack3170 (JC),7,10,6
fack3170 (JC),4,11,3
porcheing (韃靼人),5,12,4
fack3170 (JC),34,8,29
pp20233 (阿P),3,1,3
AmedRosario (SS),8,6,5
qzwxecrv55 (Ling),24,8,17
fack3170 (JC),23,8,18
coco100 (姐姐殺手),5,7,4
NaTaiUni (那提污泥),11,11,9
AmedRosario (SS),48,12,36
ashleykitty (咪貴妃),4,2,3
Black3831372 (男哥是我),14,30,10
doglin21 (士林周渝民),6,5,4
shiyo729 (Viva la Shiyo),9,22,7
a21096 (a21096),36,22,27
sixx (SIX),22,4,16
NCCUOnline (嗯嘻嘻唷昂賴),5,5,3
focusinworld (給我綠色怪物),37,5,15
timothyht615 (sentreepay),12,4,10
ReiKuromiya (Rei Kuromiya),7,27,5
ReiKuromiya (Rei Kuromiya),29,11,25
Steven1368 (邊緣天龍人),7,10,7
ReiKuromiya (Rei Kuromiya),9,10,7
ReiKuromiya (Rei Kuromiya),97,2,77
chen7david (桃園厄文),5,1,1
ReiKuromiya (Rei Kuromiya),21,14,17
andy16384257 (安迪),11,10,10
loneleonlmc (一個正常的瘋子),104,5,90
GGdardarder (反串釣魚大師),11,1,2
fack3170 (JC),22,4,10
ReiKuromiya (Rei Kuromiya),9,8,6
qzwxecrv55 (Ling),27,11,21
teramars (tomorrow never knows),48,4,43
Black3831372 (男哥是我),30,25,27
PandaSir (熊貓長官),7,3,5
k721102 (口口口口口口),23,23,7
eric02396 (老字號),16,1,5
rados (晚上烤肉誰帶肉?),19,4,7
BalneL (回首來時路),13,4,9
bqpoa (逼哭批歐欸是賺來花的有s),7,2,2
ReiKuromiya (Rei Kuromiya),30,15,27
chenyenpo (chenyenpo),9,2,6
