品名,價格,價格2,折扣%,評價,評論數
Logitech G502 USB Gaming Mouse (Black) Wired Optical  G...,"₹4,599","₹6,497",29% off,,
Logitech MX Anywhere 2S Wireless Optical Mouse,"₹5,450","₹5,999",9% off,4.4,(141)
Logitech M221 Silent USB Mouse (Black) Wireless Optical...,"₹1,099","₹1,398",21% off,4.8,(9)
Logitech G300s Optical Gaming Mouse,"₹2,199","₹2,290",3% off,4.6,"(4,571)"
Logitech m100r-Black Wired Optical Mouse,₹463,₹495,6% off,4.3,(167)
Logitech h150-White Wired Headset,"₹1,294","₹1,445",10% off,3.5,(13)
Logitech,"₹1,439","₹2,009",28% off,,
Logitech M235 Wireless Optical Mouse,"₹1,199","₹1,296",7% off,4.5,"(9,258)"
Logitech MX 2S Wireless Optical Mouse,"₹7,825","₹7,995",2% off,,
Logitech M185 Wireless Optical Mouse,₹749,"₹1,055",29% off,4.3,"(1,049)"
Logitech C922 Pro Stream Webcam  Webcam,"₹10,450","₹10,999",4% off,4.3,(10)
Logitech 340 Headset Wired Headset,"₹2,280","₹2,495",8% off,,
Logitech G15,"₹1,439","₹2,009",28% off,,
Logitech VMP - L02 Mousepad,₹125,₹399,68% off,3.5,(35)
Logitech MK120 USB 2.0 Keyboard and Mouse Combo,"₹1,099","₹1,199",8% off,4.3,(780)
Logitech m100r Wired Optical Mouse,₹408,₹495,17% off,3.9,"(1,662)"
Logitech M90 Wired Optical  Gaming Mouse,₹349,₹395,11% off,4.3,"(1,042)"
Logitech HD Webcam C525,"₹3,099","₹4,295",27% off,4.3,(170)
Logitech B530 Wired Headset,"₹4,250","₹5,699",25% off,,
Logitech G19,"₹1,439","₹2,009",28% off,,
Logitech M171 Wireless Optical Mouse,₹800,"₹1,017",21% off,4.5,"(2,529)"
Logitech M105 Wired Optical Mouse,₹552,₹595,7% off,4.4,"(1,083)"
Logitech M 90 MOUSE Wired Optical  Gaming Mouse,₹328,₹395,16% off,4.4,(18)
Logitech MOUSE PAD 1 PCS VERY FAST PRODUCT Mousepad,₹120,₹199,39% off,2.9,(15)
Logitech M100R Wired Optical Mouse,₹449,₹495,9% off,3.9,"(1,662)"
Logitech G402 Wired Optical Gaming Mouse,"₹2,599","₹2,990",13% off,4.7,"(2,460)"
Logitech h151 Wired Headset,"₹1,290","₹1,495",13% off,3.9,(87)
Logitech G5,"₹1,439","₹2,009",28% off,,
Logitech 5 Pcs Comfort Mouse Pad Long Lasting Mousepad,₹225,₹350,35% off,4.1,(641)
Logitech Logi02 Mousepad,₹116,₹312,62% off,3.3,(38)
Logitech M221 Silent USB Mouse (Black) Wireless Optical...,"₹1,099","₹1,398",21% off,4.8,(9)
Logitech M590 Wireless Optical Mouse,"₹1,995","₹2,995",33% off,4.6,(68)
Logitech LOGIBLACK001 Mousepad,₹124,₹294,57% off,3.7,(595)
Logitech PN 981-000459 Wired Headset,₹675,₹745,9% off,3.7,(564)
Logitech G102 Wired Optical  Gaming Mouse,"₹1,899","₹1,999",5% off,4.6,"(2,671)"
Logitech G11,"₹1,439","₹2,009",28% off,,
Logitech Powershell Controller + Battery  Gamepad,"₹4,950","₹8,995",44% off,3.6,(46)
Logitech 2016 Mousepad,₹90,₹200,55% off,4,(597)
Logitech Z623 Stereo Speaker,"₹10,299","₹16,495",37% off,4.5,(188)
Logitech R800 Laser Presenter,"₹5,495","₹7,495",26% off,4.4,(89)
Logitech G502 USB Gaming Mouse (Black) Wired Optical  G...,"₹4,599","₹6,497",29% off,,
