Date,Open,High,Low,Close,Adj Close,Volume
2017-04-06,91.000000,91.000000,89.900002,90.199997,90.199997,6424000
2017-04-07,90.000000,90.199997,89.099998,89.300003,89.300003,3854000
2017-04-10,89.199997,89.800003,88.599998,89.000000,89.000000,3002000
2017-04-11,89.000000,89.000000,87.800003,87.900002,87.900002,5486000
2017-04-12,87.400002,87.900002,86.699997,87.599998,87.599998,7404000
2017-04-13,87.500000,89.599998,87.500000,88.599998,88.599998,7799000
2017-04-14,88.199997,88.900002,87.800003,88.400002,88.400002,3061000
2017-04-17,89.199997,89.199997,86.599998,87.400002,87.400002,3185000
2017-04-18,87.800003,88.900002,87.599998,88.699997,88.699997,4130000
2017-04-19,88.000000,88.699997,87.000000,87.000000,87.000000,4788000
2017-04-20,86.199997,87.099998,85.199997,85.199997,85.199997,7080000
2017-04-21,86.099998,87.500000,86.099998,87.400002,87.400002,6047000
2017-04-24,87.900002,88.599998,87.000000,87.300003,87.300003,2690000
2017-04-25,88.000000,88.900002,87.500000,88.900002,88.900002,4680000
2017-04-26,89.599998,90.000000,88.599998,90.000000,90.000000,5988000
2017-04-27,89.800003,89.800003,88.199997,88.500000,88.500000,4563000
2017-04-28,88.099998,89.099998,88.000000,88.900002,88.900002,4176000
2017-05-02,89.500000,90.000000,89.300003,90.000000,90.000000,3559000
2017-05-03,90.000000,90.099998,89.400002,90.000000,90.000000,3215000
2017-05-04,90.400002,91.000000,89.900002,91.000000,91.000000,4754000
2017-05-05,91.099998,91.400002,89.699997,90.000000,90.000000,3470000
2017-05-08,90.699997,91.000000,89.500000,89.699997,89.699997,5589000
2017-05-09,89.599998,91.500000,89.400002,89.699997,89.699997,8671000
2017-05-10,89.000000,89.599998,88.199997,89.000000,89.000000,14607000
2017-05-11,88.699997,89.099998,87.800003,88.000000,88.000000,10793000
2017-05-12,88.000000,89.300003,87.599998,88.199997,88.199997,7339000
2017-05-15,88.400002,90.599998,88.300003,90.500000,90.500000,8834000
2017-05-16,90.699997,93.500000,90.699997,93.000000,93.000000,15257000
2017-05-17,93.199997,93.199997,91.599998,92.599998,92.599998,5496000
2017-05-18,90.000000,91.000000,89.800003,90.699997,90.699997,5325000
2017-05-19,90.800003,91.400002,90.099998,90.199997,90.199997,4056000
2017-05-22,91.900002,92.900002,91.000000,92.800003,92.800003,5830000
2017-05-23,92.800003,93.000000,91.300003,91.400002,91.400002,3769000
2017-05-24,92.400002,93.199997,91.300003,92.400002,92.400002,4785000
2017-05-25,92.199997,92.800003,91.800003,92.300003,92.300003,3778000
2017-05-26,92.699997,92.699997,92.000000,92.300003,92.300003,2943000
2017-05-31,93.000000,93.300003,92.599998,92.800003,92.800003,9201000
2017-06-01,92.500000,93.000000,92.000000,92.500000,92.500000,3383000
2017-06-02,93.000000,93.300003,92.699997,93.300003,93.300003,3810000
2017-06-03,null,null,null,null,null,null
2017-06-05,93.000000,95.000000,92.699997,94.699997,94.699997,6122000
2017-06-06,93.900002,94.699997,93.500000,94.099998,94.099998,3780000
2017-06-07,93.599998,94.099998,93.000000,93.599998,93.599998,4928000
2017-06-08,93.599998,94.400002,93.300003,94.099998,94.099998,3282000
2017-06-09,94.099998,94.099998,93.000000,93.199997,93.199997,5311000
2017-06-12,94.000000,94.000000,91.699997,91.699997,91.699997,5333000
2017-06-13,92.000000,92.800003,92.000000,92.199997,92.199997,2633000
2017-06-14,91.500000,92.000000,91.099998,91.699997,91.699997,3749000
2017-06-15,90.900002,93.000000,90.900002,92.699997,92.699997,3712000
2017-06-16,92.300003,92.900002,92.000000,92.000000,92.000000,6382000
2017-06-19,92.099998,95.400002,92.099998,95.000000,95.000000,8462000
2017-06-20,94.599998,99.800003,94.500000,98.500000,98.500000,17131000
2017-06-21,98.500000,98.500000,96.000000,97.000000,97.000000,8166000
2017-06-22,97.800003,98.199997,97.099998,97.300003,97.300003,4673000
2017-06-23,97.300003,97.300003,96.699997,96.900002,96.900002,4102000
2017-06-26,96.699997,99.099998,96.400002,98.400002,98.400002,10469000
2017-06-27,98.699997,99.000000,97.099998,97.900002,97.900002,5230000
2017-06-28,97.500000,97.900002,95.500000,95.599998,95.599998,9032000
2017-06-29,96.300003,97.199997,95.400002,96.300003,96.300003,7297000
2017-06-30,95.199997,96.000000,95.099998,95.300003,95.300003,4852000
2017-07-03,96.099998,98.000000,95.800003,97.599998,97.599998,5231000
2017-07-04,97.599998,98.500000,96.400002,96.699997,96.699997,5956000
2017-07-05,97.300003,98.800003,97.000000,98.199997,98.199997,5604000
2017-07-06,98.400002,98.500000,97.500000,98.199997,98.199997,3483000
2017-07-07,97.099998,97.900002,96.900002,96.900002,96.900002,2905000
2017-07-10,97.000000,97.199997,96.599998,97.099998,97.099998,3517000
2017-07-11,97.099998,99.099998,97.000000,99.000000,99.000000,7046000
2017-07-12,99.599998,99.699997,98.099998,98.099998,98.099998,4957000
2017-07-13,98.800003,99.500000,98.500000,99.300003,99.300003,5954000
2017-07-14,99.500000,99.500000,98.199997,98.800003,98.800003,3651000
2017-07-17,98.800003,99.199997,98.300003,98.500000,98.500000,1819000
2017-07-18,99.000000,99.000000,98.300003,98.599998,98.599998,2807000
2017-07-19,98.699997,100.000000,97.599998,98.099998,98.099998,5929000
2017-07-20,98.300003,99.099998,97.900002,98.599998,98.599998,4080000
2017-07-21,98.599998,98.599998,98.000000,98.199997,98.199997,2319000
2017-07-24,98.099998,98.900002,98.099998,98.800003,98.800003,3554000
2017-07-25,98.199997,98.599998,96.699997,98.500000,98.500000,5542000
2017-07-26,98.000000,98.599998,98.000000,98.500000,98.500000,3580000
2017-07-27,98.500000,99.000000,98.099998,98.900002,98.900002,5974000
2017-07-28,98.400002,98.500000,98.000000,98.000000,98.000000,5132000
2017-07-31,96.500000,98.599998,96.500000,98.599998,98.599998,16901000
2017-08-01,93.300003,95.199997,93.199997,94.699997,94.699997,7324000
2017-08-02,95.699997,95.900002,94.599998,95.199997,95.199997,6198000
2017-08-03,94.000000,95.500000,93.800003,94.900002,94.900002,6592000
2017-08-04,96.000000,96.099998,95.000000,95.400002,95.400002,3765000
2017-08-07,95.800003,96.099998,95.400002,96.099998,96.099998,2371000
2017-08-08,96.199997,97.500000,95.199997,95.400002,95.400002,7451000
2017-08-09,96.000000,96.000000,94.699997,94.800003,94.800003,4983000
2017-08-10,95.300003,95.400002,92.000000,92.199997,92.199997,7589000
2017-08-11,90.199997,91.599998,90.099998,90.400002,90.400002,12228000
2017-08-14,90.699997,91.000000,89.199997,89.500000,89.500000,6497000
2017-08-15,91.000000,91.000000,90.500000,90.800003,90.800003,5333000
2017-08-16,90.199997,91.300003,90.000000,90.599998,90.599998,4928000
2017-08-17,92.300003,92.300003,91.199997,92.099998,92.099998,3045000
2017-08-18,91.900002,92.000000,91.099998,92.000000,92.000000,3201000
2017-08-21,92.000000,92.000000,90.900002,91.400002,91.400002,1357920
2017-08-22,92.400002,93.000000,91.900002,92.500000,92.500000,3523206
2017-08-23,93.599998,93.599998,92.000000,92.500000,92.500000,2771765
2017-08-24,91.599998,93.500000,91.599998,93.400002,93.400002,3548766
2017-08-25,93.900002,94.000000,93.000000,94.000000,94.000000,3442648
2017-08-28,94.000000,94.099998,93.300003,93.900002,93.900002,1918125
2017-08-29,94.099998,94.199997,92.599998,93.199997,93.199997,4974606
2017-08-30,94.400002,95.000000,94.199997,94.800003,94.800003,4369206
2017-08-31,95.099998,95.199997,94.699997,95.000000,95.000000,5561655
2017-09-01,95.000000,95.000000,94.000000,94.300003,94.300003,3887771
2017-09-04,94.000000,94.199997,93.300003,93.599998,93.599998,1900377
2017-09-05,93.599998,94.000000,92.599998,93.000000,93.000000,4423096
2017-09-06,92.699997,93.800003,92.500000,93.199997,93.199997,4428212
2017-09-07,93.300003,94.400002,93.199997,94.400002,94.400002,6328634
2017-09-08,95.000000,95.000000,93.900002,94.400002,94.400002,7761370
2017-09-11,94.900002,94.900002,92.599998,92.800003,92.800003,4307558
2017-09-12,93.300003,93.300003,91.099998,91.800003,91.800003,6542414
2017-09-13,89.000000,90.000000,88.800003,89.000000,89.000000,13201246
2017-09-14,88.300003,88.500000,86.300003,87.199997,87.199997,10733325
2017-09-15,87.000000,88.500000,87.000000,88.500000,88.500000,9492495
2017-09-18,89.000000,89.000000,86.599998,87.300003,87.300003,8771974
2017-09-19,87.199997,87.199997,85.500000,85.699997,85.699997,8140898
2017-09-20,85.300003,85.699997,84.000000,84.099998,84.099998,10555674
2017-09-21,83.500000,85.300003,83.199997,84.800003,84.800003,8679342
2017-09-22,84.199997,84.300003,81.199997,81.300003,81.300003,15238680
2017-09-25,81.000000,81.000000,77.699997,77.699997,77.699997,21545480
2017-09-26,77.699997,78.599998,76.099998,76.099998,76.099998,17408845
2017-09-27,79.000000,79.099998,77.500000,78.000000,78.000000,8938617
2017-09-28,79.000000,80.699997,78.199997,79.699997,79.699997,13614052
2017-09-29,80.900002,80.900002,77.699997,78.699997,78.699997,9043345
2017-10-02,80.800003,82.000000,79.800003,81.699997,81.699997,11111939
2017-10-03,81.900002,82.000000,79.699997,80.099998,80.099998,11342515
2017-10-05,81.000000,81.400002,80.300003,81.000000,81.000000,7148681
2017-10-06,82.300003,82.300003,81.400002,81.599998,81.599998,7638808
2017-10-11,82.300003,82.900002,81.199997,82.300003,82.300003,10754793
2017-10-12,83.099998,83.800003,82.300003,82.300003,82.300003,10366369
2017-10-13,82.300003,82.500000,81.099998,81.800003,81.800003,7692885
2017-10-16,81.800003,82.400002,81.500000,82.400002,82.400002,4016239
2017-10-17,83.099998,83.400002,81.599998,81.800003,81.800003,7785703
2017-10-18,82.000000,82.000000,80.300003,81.000000,81.000000,8899414
2017-10-19,79.400002,80.000000,78.800003,78.800003,78.800003,13493691
2017-10-20,77.900002,80.400002,77.900002,80.400002,80.400002,11535229
2017-10-23,81.199997,81.199997,79.900002,79.900002,79.900002,4058637
2017-10-24,80.000000,80.000000,78.800003,79.099998,79.099998,6135376
2017-10-25,79.400002,79.699997,78.599998,78.800003,78.800003,5726822
2017-10-26,78.500000,79.300003,78.500000,79.099998,79.099998,3723013
2017-10-27,79.500000,79.599998,78.500000,78.599998,78.599998,5390853
2017-10-30,79.800003,80.000000,78.400002,78.400002,78.400002,7958539
2017-10-31,78.800003,78.800003,78.000000,78.000000,78.000000,8179529
2017-11-01,78.500000,78.900002,78.099998,78.199997,78.199997,6057021
2017-11-02,78.199997,78.400002,77.500000,77.500000,77.500000,7490078
2017-11-03,78.000000,78.500000,77.699997,78.300003,78.300003,5849625
2017-11-06,79.500000,79.500000,78.099998,78.199997,78.199997,7108664
2017-11-07,78.500000,78.699997,78.000000,78.099998,78.099998,5606302
2017-11-08,78.500000,79.000000,78.400002,78.900002,78.900002,6356733
2017-11-09,78.900002,79.000000,77.699997,78.000000,78.000000,6517089
2017-11-10,74.300003,75.500000,72.800003,74.000000,74.000000,22024924
2017-11-13,73.000000,73.000000,71.599998,71.699997,71.699997,13806661
2017-11-14,71.199997,72.699997,70.099998,72.199997,72.199997,13824964
2017-11-15,71.500000,71.800003,70.199997,70.300003,70.300003,16389148
2017-11-16,70.099998,70.800003,70.000000,70.300003,70.300003,12378774
2017-11-17,70.500000,71.099998,69.900002,69.900002,69.900002,17066523
2017-11-20,69.599998,69.900002,68.199997,68.699997,68.699997,16024406
2017-11-21,68.599998,69.599998,68.199997,68.400002,68.400002,14717423
2017-11-22,68.500000,69.500000,68.500000,69.300003,69.300003,14813364
2017-11-23,70.300003,72.300003,70.099998,71.300003,71.300003,13506631
2017-11-24,70.699997,71.199997,70.500000,70.599998,70.599998,7819138
2017-11-27,71.000000,71.000000,69.500000,69.599998,69.599998,11875746
2017-11-28,69.500000,69.599998,68.599998,68.699997,68.699997,11069494
2017-11-29,68.900002,69.300003,68.500000,68.599998,68.599998,9182674
2017-11-30,68.000000,68.300003,67.500000,68.300003,68.300003,16076991
2017-12-01,68.400002,69.500000,67.599998,69.099998,69.099998,10327857
2017-12-04,68.900002,69.000000,67.500000,68.000000,68.000000,8441266
2017-12-05,68.000000,69.900002,68.000000,69.699997,69.699997,12632750
2017-12-06,70.599998,70.699997,69.500000,70.599998,70.599998,15392741
2017-12-07,70.699997,70.800003,69.699997,70.199997,70.199997,8503638
2017-12-08,69.400002,70.400002,68.099998,68.599998,68.599998,14592930
2017-12-11,69.599998,71.199997,69.400002,70.500000,70.500000,11072609
2017-12-12,69.000000,69.300003,68.500000,68.599998,68.599998,14564497
2017-12-13,68.900002,69.199997,68.099998,68.599998,68.599998,6557948
2017-12-14,69.000000,69.400002,68.500000,68.500000,68.500000,5896090
2017-12-15,68.199997,69.599998,68.099998,69.599998,69.599998,11666245
2017-12-18,70.000000,70.300003,69.000000,70.300003,70.300003,8976768
2017-12-19,71.000000,72.800003,70.599998,71.800003,71.800003,15300960
2017-12-20,72.300003,72.500000,71.500000,72.300003,72.300003,13481491
2017-12-21,72.500000,72.500000,71.500000,71.800003,71.800003,5517793
2017-12-22,72.000000,72.300003,71.800003,72.300003,72.300003,4380032
2017-12-25,72.500000,72.500000,71.599998,71.800003,71.800003,2239715
2017-12-26,71.800003,72.000000,70.000000,70.000000,70.000000,5129282
2017-12-27,70.000000,71.400002,70.000000,71.000000,71.000000,4390367
2017-12-28,71.500000,72.000000,71.099998,71.900002,71.900002,5053611
2017-12-29,72.000000,72.099998,71.500000,72.000000,72.000000,4778685
